duplication number,count
1,734462
2,447435
3,248566
4,157123
5,69077
6,46406
7,41351
8,34062
9,27015
10,27891
11,23223
12,20933
13,20928
14,19781
15,17812
16,17034
17,16307
18,15402
19,14953
20,13893
21,12497
22,11832
23,11574
24,10980
25,10855
26,10160
27,9560
28,9435
29,8985
30,8587
31,8041
32,7743
33,7303
34,7345
35,7153
36,6839
37,6610
38,6251
39,6084
40,5911
41,5738
42,5511
43,5460
44,5304
45,5032
46,4961
47,4746
48,4664
49,4588
50,4566
51,4331
52,4357
53,4102
54,4005
55,3985
56,3934
57,3793
58,3598
59,3617
60,3503
61,3497
62,3365
63,3216
64,3181
65,3086
66,3147
67,2939
68,2922
69,2955
70,2747
71,2737
72,2645
73,2573
74,2639
75,2375
76,2454
77,2318
78,2316
79,2258
80,2195
81,2156
82,2137
83,2097
84,2037
85,1999
86,1901
87,1882
88,1823
89,1779
90,1770
91,1734
92,1760
93,1623
94,1582
95,1550
96,1542
97,1558
98,1421
99,1473
100,1435
101,1406
102,1322
103,1334
104,1290
105,1181
106,1276
107,1188
108,1145
109,1127
110,1133
111,1066
112,1052
113,1047
114,1006
115,993
116,969
117,873
118,918
119,886
120,905
121,830
122,814
123,787
124,784
125,775
126,775
127,681
128,737
129,731
130,672
131,684
132,597
133,599
134,646
135,661
136,589
137,572
138,532
139,537
140,543
141,534
142,517
143,470
144,455
145,440
146,424
147,461
148,433
149,448
150,443
151,397
152,406
153,385
154,363
155,407
156,398
157,406
158,342
159,332
160,344
161,321
162,337
163,324
164,290
165,323
166,270
167,322
168,280
169,288
170,279
171,274
172,270
173,271
174,268
175,233
176,250
177,233
178,234
179,219
180,231
181,244
182,198
183,224
184,207
185,220
186,188
187,189
188,218
189,199
190,167
191,177
192,164
193,192
194,169
195,155
196,190
197,149
198,151
199,166
200,147
201,155
202,127
203,135
204,120
205,110
206,121
207,126
208,126
209,144
210,106
211,131
212,117
213,127
214,102
215,106
216,101
217,102
218,104
219,100
220,112
221,93
222,87
223,99
224,75
225,87
226,82
227,86
228,99
229,81
230,86
231,80
232,85
233,89
234,68
235,65
236,81
237,78
238,73
239,52
240,69
241,68
242,75
243,59
244,52
245,55
246,50
247,67
248,55
249,64
250,56
251,61
252,39
253,49
254,47
255,47
256,58
257,61
258,44
259,36
260,44
261,47
262,53
263,42
264,40
265,50
266,44
267,25
268,42
269,39
270,45
271,24
272,32
273,31
274,34
275,41
276,37
277,38
278,33
279,38
280,47
281,25
282,35
283,33
284,37
285,33
286,31
287,26
288,28
289,31
290,30
291,27
292,28
293,30
294,28
295,26
296,26
297,34
298,26
299,28
300,21
301,21
302,25
303,26
304,26
305,35
306,26
307,19
308,32
309,24
310,23
311,18
312,25
313,28
314,20
315,13
316,19
317,17
318,22
319,12
320,20
321,16
322,16
323,17
324,15
325,25
326,17
327,14
328,13
329,20
330,9
331,12
332,17
333,8
334,10
335,11
336,14
337,12
338,15
339,9
340,13
341,7
342,10
343,11
344,13
345,13
346,16
347,16
348,12
349,3
350,17
351,5
352,10
353,9
354,9
355,7
356,10
357,11
358,15
359,8
360,7
361,6
362,9
363,6
364,7
365,9
366,6
367,9
368,6
369,4
370,8
371,6
372,8
373,14
374,2
375,2
376,7
377,2
378,7
379,5
380,4
381,4
382,3
383,6
384,4
385,7
386,1
387,3
388,3
389,4
390,5
391,5
392,8
393,2
394,2
395,7
396,3
397,4
398,0
399,5
400,5
401,4
402,2
403,5
404,4
405,3
406,7
407,4
408,4
409,4
410,1
411,6
412,3
413,1
414,5
415,4
416,3
417,0
418,2
419,2
420,1
421,3
422,2
423,0
424,1
425,4
426,1
427,2
428,4
429,3
430,1
431,0
432,3
433,4
434,6
435,5
436,3
437,0
438,2
439,3
440,1
441,1
442,1
443,1
444,3
445,1
446,0
447,0
448,3
449,2
450,1
451,1
452,0
453,2
454,0
455,0
456,0
457,1
458,0
459,1
460,1
461,3
462,2
463,2
464,0
465,2
466,0
467,1
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,2
502,0
503,1
504,0
505,0
506,1
507,3
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,0
516,2
517,0
518,0
519,2
520,0
521,0
522,1
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,0
538,0
539,1
540,0
541,1
542,0
543,1
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
