cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,18357,30250,88666,34333,1065,0,5613
A2,50976,60260,381227,84088,5468,0,28857
A3,18316,26566,80568,37071,1945,0,7598
A4,15721,21955,70911,28576,1214,0,5425
A5,16119,16802,59566,24504,604,0,5748
A6,19990,21835,100295,28160,2038,0,7058
A7,15457,16311,62352,21325,1104,0,1629
A8,15962,18550,64379,25156,1339,0,3956
A9,13809,16209,56435,23772,805,0,5682
A10,37976,38328,284802,77135,3702,0,23555
A11,21371,23822,102671,39889,1672,0,6161
A12,70138,28071,163833,54078,1999,0,7051
A13,11698,16491,50541,24031,990,0,2750
A14,25078,26438,136653,42807,2134,0,5330
A15,17493,20000,75530,29129,1034,0,4270
A16,24198,25646,127505,38423,1854,0,6249
A17,87,23,54,69,3,0,3
A18,17194,19414,59072,23541,935,0,3536
A19,16209,21198,79085,24746,1471,0,4174
A20,17093,24419,96339,32011,2602,0,4126
A21,27669,32752,175168,46769,2080,0,10064
A22,466,86,453,277,2,0,46
A23,13632,19684,62589,23977,981,0,3554
A24,14464,19118,50443,21594,759,0,4774
B1,15596,20162,70235,27045,774,0,6922
B2,17945,22117,87102,33260,1362,0,6287
B3,17597,18968,66399,26327,947,0,5447
B4,15942,18871,82889,26729,2025,0,5055
B5,15848,22941,78519,29561,1131,0,4563
B6,1159,389,1949,409,12,0,37
B7,15051,17518,69955,30126,902,0,5250
B8,16670,18770,73796,29492,985,0,2709
B9,14390,20520,62126,29704,583,0,8979
B10,13421,15777,71968,26472,1261,0,6011
B11,12261,19611,54554,20897,567,0,3584
B12,16933,20230,97091,31121,1161,0,4951
B13,14573,17386,53200,26748,600,0,4938
B14,12887,18934,60253,27802,751,0,4389
B15,95,14,201,17,2,0,6
B16,19720,19649,85244,32298,1129,0,7322
B17,19235,22677,79166,36171,1026,0,8438
B18,18832,22470,102871,33305,1521,0,5036
B19,22444,28238,135255,36930,2460,0,10924
B20,20362,23035,116663,40190,2316,0,6376
B21,19591,20969,80616,30913,950,0,6332
B22,17427,23359,90428,29738,1683,0,5736
B23,326,581,538,235,4,0,13
B24,23973,19746,85368,31371,1368,0,7380
C1,30007,39280,128112,55122,1686,0,9183
C2,17764,24256,74342,30240,1028,0,4904
C3,20184,25714,105434,38772,1530,0,11345
C4,17403,24758,77412,32735,846,0,4448
C5,20026,23287,90994,29027,1452,0,4804
C6,24748,27876,104903,35961,2165,0,7873
C7,1018,218,479,355,14,0,15
C8,18888,27472,71173,34396,666,0,6936
C9,215,319,1078,665,52,0,111
C10,19323,22348,79998,30667,914,0,7003
C11,41949,45689,242235,73375,3038,0,10206
C12,21793,30059,105325,40364,1505,0,9240
C13,16021,19379,65186,28821,1298,0,6072
C14,20052,23916,77607,37942,1284,0,6458
C15,25928,24898,141915,42177,2126,0,6102
C16,19528,22192,83278,35398,1407,0,8562
C17,17371,21802,83566,27813,920,0,6219
C18,19409,24781,93250,31986,1191,0,8124
C19,19415,21736,94493,31208,1341,0,11713
C20,768,178,1281,270,4,0,54
C21,40880,46780,296480,66265,3737,0,24270
C22,16721,22076,74302,30932,964,0,4290
C23,19355,25446,105468,38252,1673,0,6302
C24,18612,21687,77830,33796,914,0,6918
D1,21060,27063,100725,41819,2189,0,3739
D2,25327,27024,152059,48662,2028,0,8065
D3,19658,23519,71802,30271,943,0,7897
D4,345,33,165,56,2,0,7
D5,17286,21578,76877,32108,1160,0,7218
D6,20771,23707,94322,34239,1383,0,7279
D7,18145,24178,73720,31808,812,0,3895
D8,23429,26353,123212,39571,2604,0,6152
D9,19700,24374,113517,34682,2311,0,7623
D10,15970,19059,74803,25126,876,0,5573
D11,14472,17865,75846,25711,1136,0,4134
D12,25790,29999,135791,50619,1959,0,7762
D13,627,86,765,262,5,0,55
D14,22198,24701,125999,39560,1994,0,15903
D15,17037,20175,84522,34064,1139,0,7693
D16,25820,25672,129066,42683,2212,0,7197
D17,26746,30739,153858,55143,1430,0,10915
D18,14542,23620,61375,31062,891,0,3872
D19,12767,18751,62427,24549,843,0,6035
D20,17207,22225,77505,31803,655,0,9019
D21,14977,22344,69263,27651,958,0,7034
D22,14771,18768,54706,25187,599,0,4281
D23,432,37,106,68,2,0,8
D24,13240,11607,43864,19409,604,0,4596
E1,17092,24239,77023,30308,1177,0,2500
E2,41999,47577,241263,68848,2972,0,11468
E3,668,74,313,239,5,0,20
E4,17347,23639,82350,30633,1135,0,6059
E5,23182,31193,122619,44329,2032,0,4695
E6,15310,22275,44668,27643,652,0,1898
E7,29600,23796,145770,42305,1847,0,8876
E8,21306,25694,92707,34741,1850,0,6807
E9,21120,26944,126286,34317,2228,0,7852
E10,16404,24466,98185,32311,1163,0,7638
E11,7581,13186,49748,10094,353,0,2298
E12,19978,23533,87465,33656,1635,0,2724
E13,20314,29311,105762,36670,2114,0,6118
E14,23239,23165,120621,36630,2098,0,6869
E15,20478,22698,74521,34022,888,0,7141
E16,20224,25663,101512,41731,1387,0,7913
E17,18089,23628,85002,35099,1359,0,5812
E18,60416,61768,455708,107518,7295,0,25660
E19,29517,36180,176691,52229,2847,0,10091
E20,12356,11521,56945,17799,703,0,3699
E21,867,619,1026,927,4,0,95
E22,18944,23269,103032,29174,2079,0,7600
E23,20503,24247,98648,40509,1381,0,4589
E24,18231,23069,88238,31461,1515,0,6344
F1,19910,24989,90367,34813,2447,0,5672
F2,14365,21535,69219,26587,1089,0,7921
F3,15128,14826,67783,18433,900,0,5423
F4,20199,20364,93055,28583,1861,0,5490
F5,13555,17543,62863,20298,1111,0,3990
F6,20346,16286,81181,25994,1621,0,5713
F7,9396,13248,42213,16164,493,0,1738
F8,7822,13442,44175,14642,666,0,4287
F9,16149,19152,63672,24904,901,0,5460
F10,18313,23222,69705,34208,1075,0,7448
F11,638,595,1262,656,26,0,12
F12,4385,5567,26557,6986,324,0,1515
F13,16826,22723,87884,26594,1035,0,8010
F14,18809,18497,73554,26090,1008,0,6302
F15,339,41,182,110,1,0,1
F16,11978,19101,46917,21817,539,0,6794
F17,25762,28166,135768,46308,2128,0,8235
F18,15686,22464,76483,25336,1462,0,3777
F19,17625,20821,76683,31629,942,0,6719
F20,14288,17447,59663,21175,862,0,3593
F21,23123,28277,123134,42971,1920,0,10913
F22,10245,11823,40206,19737,947,0,6733
F23,13729,19758,68893,29692,892,0,7798
F24,15502,24477,70574,26253,1566,0,4139
G1,18605,28833,89068,39450,1219,0,6584
G2,26828,33024,139929,55327,2068,0,14327
G3,13720,24505,60662,22023,1059,0,5343
G4,27574,37225,175981,55060,2166,0,7127
G5,10708,17743,78775,16432,1168,0,2860
G6,19026,35047,88474,34241,1801,0,7962
G7,11361,21143,62489,20423,1002,0,2700
G8,9758,21831,61030,18927,1092,0,2316
G9,6958,20503,40891,11302,744,0,2521
G10,7855,23716,37206,14398,528,0,1543
G11,1709,6002,10176,3031,82,0,151
G12,7049,10610,53562,11654,1016,0,2217
G13,17676,29674,81555,38643,1475,0,5905
G14,25197,41096,142324,44632,2366,0,15796
G15,17582,31189,80549,29044,1649,0,4642
G16,24912,43671,101750,38412,1658,0,4972
G17,13978,27590,41269,26943,706,0,3063
G18,17863,33979,84644,40952,1280,0,6164
G19,22303,33296,132391,36925,2834,0,11354
G20,36771,46794,215921,67908,3411,0,18415
G21,18309,31014,81219,27372,859,0,6263
G22,42385,40084,202575,60471,3473,0,12464
G23,16764,21740,79023,30120,1250,0,6678
G24,25231,41683,106911,44366,1468,0,6868
H1,21198,33662,87867,32962,1313,0,5924
H2,20497,33307,109351,39415,978,0,11252
H3,13968,28488,60861,23772,773,0,3551
H4,15490,26094,54518,22083,593,0,3237
H5,16576,32774,73623,28909,1142,0,7718
H6,18744,29710,80010,31636,1050,0,5292
H7,10707,20129,55768,17902,350,0,2559
H8,122213,5338,12642,3277,144,0,417
H9,14097,22811,78547,24838,887,0,5161
H10,15115,27879,74392,31969,765,0,7626
H11,13492,24028,79593,27394,1299,0,2966
H12,2434,6161,10365,2901,73,0,135
H13,12146,25311,64664,26103,988,0,3444
H14,331,282,1108,439,30,0,87
H15,19067,32226,105929,35370,1389,0,8040
H16,15318,28623,75219,30577,654,0,7874
H17,28223,34135,158266,51327,2360,0,11189
H18,17517,26872,94704,26109,1913,0,6325
H19,10961,22887,40288,21993,464,0,2390
H20,14215,22937,58899,22784,1647,0,3819
H21,10424,12827,54871,15317,964,0,4245
