chromosome name,count
gi|9626372|ref|NC_001422.1|,4920
ERCC-00035,1988
ERCC-00158,2
ERCC-00073,229
ERCC-00160,1007
ERCC-00099,544
ERCC-00028,109
ERCC-00051,1241
ERCC-00039,290
ERCC-00079,1677
ERCC-00060,30471
ERCC-00004,534367
ERCC-00117,0
ERCC-00109,12
ERCC-00126,378
ERCC-00164,66
ERCC-00111,13882
ERCC-00046,372111
ERCC-00108,15500
ERCC-00097,0
ERCC-00156,41
ERCC-00016,0
ERCC-00147,0
ERCC-00144,1120
ERCC-00061,0
ERCC-00084,847
ERCC-00170,1335
ERCC-00022,7992
ERCC-00083,0
ERCC-00042,34308
ERCC-00024,14
ERCC-00003,48390
ERCC-00002,1153557
ERCC-00145,10994
ERCC-00081,39
ERCC-00071,1723
ERCC-00142,3
ERCC-00031,188
ERCC-00058,2
ERCC-00059,286
ERCC-00025,1505
ERCC-00017,0
ERCC-00157,349
GL456239.1,20
GL456210.1,1442
ERCC-00134,38
19,2159225
JH584304.1,46142
GL456372.1,726
JH584303.1,2
JH584294.1,41
13,2304826
GL456354.1,33
GL456221.1,1715
ERCC-00077,267
GL456394.1,109
GL456212.1,1315
ERCC-00150,73
ERCC-00143,170
JH584292.1,0
GL456219.1,20
ERCC-00136,32551
ERCC-00044,2731
18,1351973
4,3437135
GL456367.1,791
GL456211.1,2776
16,1813413
ERCC-00168,80
JH584300.1,25
10,2644722
GL456396.1,1325
ERCC-00054,757
JH584301.1,19
JH584298.1,56
GL456393.1,181
15,2309162
ERCC-00078,762
GL456392.1,2283
3,2674021
ERCC-00116,5906
GL456350.1,46
5,3978173
ERCC-00092,12187
GL456366.1,19
GL456379.1,419
14,2599662
JH584299.1,437
17,5106582
12,2186639
GL456216.1,5819
ERCC-00098,0
X,2087833
JH584293.1,53
ERCC-00162,7419
MT,5519779
GL456383.1,346
ERCC-00019,1222
2,4250356
ERCC-00076,7478
JH584297.1,1272
JH584302.1,8
7,4018797
ERCC-00131,3540
8,2812297
ERCC-00154,296
11,4319572
ERCC-00053,2623
JH584296.1,488
ERCC-00075,0
9,3194951
GL456233.1,3599
Y,131190
ERCC-00148,369
ERCC-00104,0
GL456213.1,188
ERCC-00062,4912
GL456385.1,10
ERCC-00113,113543
ERCC-00069,17
ERCC-00120,122
ERCC-00014,279
GL456378.1,264
GL456389.1,1287
ERCC-00123,44
ERCC-00048,0
GL456370.1,1227
JH584295.1,47
ERCC-00085,264
ERCC-00095,6191
6,3480982
GL456381.1,0
ERCC-00057,0
GL456387.1,0
GL456382.1,86531
GL456390.1,316
1,5764765
ERCC-00040,33
ERCC-00067,80
ERCC-00041,0
ERCC-00163,415
ERCC-00096,342784
ERCC-00033,185
ERCC-00171,112227
ERCC-00034,380
GL456359.1,1
ERCC-00165,1734
GL456368.1,57
ERCC-00012,0
GL456360.1,64
ERCC-00086,0
ERCC-00009,22903
ERCC-00130,641977
ERCC-00112,1937
ERCC-00138,0
ERCC-00074,935033
ERCC-00043,27519
ERCC-00137,5
ERCC-00013,0
