"Index Primer"	"Number of Cells"	"CD8negcDC_Perc"	"CD8poscDC_Perc"	"Plasmacytoids_Perc"	"CD8negcDC_Num"	"CD8poscDC_Num"	"Plasmacytoids_Num"
1	4	50	50	0	22	22	0
2	7	61.6666666666667	38.3333333333333	0	74	46	0
3	10	0	0	100	0	0	6
4	3	NA	NA	NA	0	0	0
5	10	10	0	90	1	0	9
6	3	51.6699410609037	32.2200392927308	16.1100196463654	263	164	82
7	2	NA	NA	NA	0	0	0
8	2	NA	NA	NA	0	0	0
9	10	42.6101987899741	56.0933448573898	1.29645635263613	493	649	15
10	6	83.7209302325581	16.2790697674419	0	72	14	0
11	4	27.024567788899	18.1983621474067	54.7770700636943	594	400	1204
12	1	NA	NA	NA	0	0	0
13	4	0	0	100	0	0	1
14	1	25.6410256410256	20.5128205128205	53.8461538461538	20	16	42
15	3	0	100	0	0	1	0
16	4	NA	NA	NA	0	0	0
17	10	24.906755076668	45.0891007045172	30.0041442188148	601	1088	724
18	9	0	100	0	0	2	0
19	10	NA	NA	NA	0	0	0
20	10	87.5	12.5	0	21	3	0
21	10	0	0	100	0	0	16
22	11	56.6265060240964	43.3734939759036	0	141	108	0
23	10	93.3333333333333	6.66666666666667	0	14	1	0
24	10	56.5217391304348	43.4782608695652	0	13	10	0
25	10	NA	NA	NA	0	0	0
26	5	NA	NA	NA	0	0	0
27	2	56.25	43.75	0	9	7	0
28	2	22.2222222222222	77.7777777777778	0	2	7	0
29	10	10.0840336134454	56.3025210084034	33.6134453781513	12	67	40
30	11	8.69565217391304	0	91.304347826087	2	0	21
31	10	2.7027027027027	14.1891891891892	83.1081081081081	4	21	123
32	3	100	0	0	1	0	0
33	8	33.8461538461538	50.7692307692308	15.3846153846154	44	66	20
34	3	NA	NA	NA	0	0	0
35	10	87.5	12.5	0	7	1	0
36	5	28.2352941176471	71.7647058823529	0	24	61	0
37	6	61.0105580693816	35.4449472096531	3.54449472096531	809	470	47
38	0	NA	NA	NA	0	0	0
39	3	NA	NA	NA	0	0	0
40	0	NA	NA	NA	0	0	0
