"gene_id","ILSGR0260r_S1_BC1.bam","ILSGR0260r_S1_BC10.bam","ILSGR0260r_S1_BC11.bam","ILSGR0260r_S1_BC12.bam","ILSGR0260r_S1_BC13.bam","ILSGR0260r_S1_BC14.bam","ILSGR0260r_S1_BC15.bam","ILSGR0260r_S1_BC16.bam","ILSGR0260r_S1_BC17.bam","ILSGR0260r_S1_BC18.bam","ILSGR0260r_S1_BC19.bam","ILSGR0260r_S1_BC2.bam","ILSGR0260r_S1_BC20.bam","ILSGR0260r_S1_BC21.bam","ILSGR0260r_S1_BC22.bam","ILSGR0260r_S1_BC23.bam","ILSGR0260r_S1_BC24.bam","ILSGR0260r_S1_BC25.bam","ILSGR0260r_S1_BC26.bam","ILSGR0260r_S1_BC27.bam","ILSGR0260r_S1_BC28.bam","ILSGR0260r_S1_BC29.bam","ILSGR0260r_S1_BC3.bam","ILSGR0260r_S1_BC30.bam","ILSGR0260r_S1_BC31.bam","ILSGR0260r_S1_BC32.bam","ILSGR0260r_S1_BC33.bam","ILSGR0260r_S1_BC34.bam","ILSGR0260r_S1_BC35.bam","ILSGR0260r_S1_BC36.bam","ILSGR0260r_S1_BC37.bam","ILSGR0260r_S1_BC38.bam","ILSGR0260r_S1_BC39.bam","ILSGR0260r_S1_BC4.bam","ILSGR0260r_S1_BC40.bam","ILSGR0260r_S1_BC5.bam","ILSGR0260r_S1_BC6.bam","ILSGR0260r_S1_BC7.bam","ILSGR0260r_S1_BC8.bam","ILSGR0260r_S1_BC9.bam"
"ERCC-00113",3,82,9,6,69,88,53,0,149,14,87,135,100,70,49,38,33,0,82,25,121,56,21,78,43,134,6,68,71,0,44,51,24,27,29,2,66,11,81,13
"ERCC-00171",3,27,0,0,19,47,30,0,71,38,23,20,67,0,48,31,33,0,57,15,28,49,72,6,51,45,0,43,40,0,43,26,47,11,6,1,13,0,38,12
"ERCC-00009",1,6,0,13,19,26,4,0,19,3,35,25,0,0,0,2,12,0,9,1,34,16,44,0,81,33,0,30,69,0,29,57,73,2,0,15,2,0,21,10
"ERCC-00130",48,393,104,239,568,314,621,0,1587,367,706,357,396,403,330,327,136,4,687,438,474,749,994,331,630,819,80,681,843,0,629,478,526,511,186,121,277,115,499,359
"ERCC-00043",0,1,0,2,1,6,16,0,20,13,5,4,1,2,25,0,3,0,10,3,32,5,1,10,18,31,0,1,15,0,2,2,12,20,24,30,0,0,19,7
"ERCC-00145",0,22,0,2,0,10,0,0,47,0,9,1,37,2,0,3,0,0,0,0,30,6,4,10,7,11,2,4,36,0,1,3,16,1,1,0,18,2,0,26
"ERCC-00002",1,910,150,316,2010,559,1378,0,2162,641,1209,145,93,296,362,550,328,0,1733,1054,1291,482,1334,737,1440,1225,0,1199,1557,0,768,846,1159,595,50,59,455,536,801,465
"ERCC-00003",40,44,0,6,54,54,33,0,119,5,61,28,72,20,19,13,15,0,58,46,36,19,55,18,20,34,2,59,90,0,26,15,35,6,43,0,80,43,53,14
"ERCC-00074",75,451,67,239,424,403,384,0,777,203,389,333,396,178,137,233,168,5,543,459,636,416,438,375,652,404,33,453,816,0,346,381,492,233,488,24,334,119,409,195
"ERCC-00108",0,6,6,2,3,40,8,0,75,32,63,3,8,0,39,16,0,0,5,9,6,6,32,47,48,9,0,0,74,0,17,9,43,11,13,2,12,23,38,0
"ERCC-00116",0,3,0,0,0,8,3,0,2,17,2,13,14,2,4,0,0,0,0,0,7,7,21,0,2,0,0,4,0,0,9,13,11,0,0,0,0,2,5,0
"ERCC-00046",9,61,26,49,169,84,68,4,218,68,87,86,220,18,17,28,22,0,115,117,64,85,121,88,184,81,0,133,102,0,136,77,58,44,144,0,38,11,114,51
"ERCC-00111",0,0,0,8,0,8,19,0,20,3,22,0,10,31,0,0,0,0,35,17,1,2,0,28,7,3,0,2,8,0,1,20,4,8,50,0,6,0,17,9
"ERCC-00004",10,90,9,54,129,98,123,0,220,49,84,51,88,30,25,57,9,1,146,94,156,115,82,97,119,148,2,173,214,0,128,93,114,70,39,8,64,9,144,55
"ERCC-00060",0,0,0,18,13,19,36,0,8,0,4,3,37,0,38,40,0,0,55,3,12,6,0,2,9,21,0,15,23,0,21,4,6,1,0,0,2,8,0,0
"ERCC-00136",1,46,18,50,60,121,76,0,178,31,59,85,66,80,11,47,23,1,114,46,34,55,56,13,91,25,0,107,133,0,31,223,41,41,14,10,26,46,72,45
"ERCC-00092",1,2,0,24,0,0,0,0,0,17,13,1,0,4,3,1,0,0,0,0,13,2,7,36,25,0,0,6,2,0,2,6,5,0,0,0,3,0,17,0
"ERCC-00042",0,0,0,5,7,15,17,0,22,5,2,0,0,25,0,7,11,0,6,0,17,3,13,2,0,15,0,22,5,0,4,0,0,8,0,0,0,13,12,1
"ERCC-00096",37,268,32,177,438,690,659,0,785,314,722,372,327,159,314,213,177,4,807,293,586,324,428,457,633,811,15,522,589,0,526,426,558,243,356,5,316,99,379,154
