"gene_id","ILSGR0260r_S1_BC1.bam","ILSGR0260r_S1_BC10.bam","ILSGR0260r_S1_BC11.bam","ILSGR0260r_S1_BC12.bam","ILSGR0260r_S1_BC13.bam","ILSGR0260r_S1_BC14.bam","ILSGR0260r_S1_BC15.bam","ILSGR0260r_S1_BC16.bam","ILSGR0260r_S1_BC17.bam","ILSGR0260r_S1_BC18.bam","ILSGR0260r_S1_BC19.bam","ILSGR0260r_S1_BC2.bam","ILSGR0260r_S1_BC20.bam","ILSGR0260r_S1_BC21.bam","ILSGR0260r_S1_BC22.bam","ILSGR0260r_S1_BC23.bam","ILSGR0260r_S1_BC24.bam","ILSGR0260r_S1_BC25.bam","ILSGR0260r_S1_BC26.bam","ILSGR0260r_S1_BC27.bam","ILSGR0260r_S1_BC28.bam","ILSGR0260r_S1_BC29.bam","ILSGR0260r_S1_BC3.bam","ILSGR0260r_S1_BC30.bam","ILSGR0260r_S1_BC31.bam","ILSGR0260r_S1_BC32.bam","ILSGR0260r_S1_BC33.bam","ILSGR0260r_S1_BC34.bam","ILSGR0260r_S1_BC35.bam","ILSGR0260r_S1_BC36.bam","ILSGR0260r_S1_BC37.bam","ILSGR0260r_S1_BC38.bam","ILSGR0260r_S1_BC39.bam","ILSGR0260r_S1_BC4.bam","ILSGR0260r_S1_BC40.bam","ILSGR0260r_S1_BC5.bam","ILSGR0260r_S1_BC6.bam","ILSGR0260r_S1_BC7.bam","ILSGR0260r_S1_BC8.bam","ILSGR0260r_S1_BC9.bam"
"27395",0,48,0,0,76,0,0,0,19,6,68,4,0,19,0,8,10,0,0,7,0,25,20,0,0,32,0,8,18,0,82,20,0,63,0,0,47,36,0,21
"21399",0,21,0,0,43,12,0,0,38,4,22,3,0,0,0,0,0,0,0,16,2,1,9,1,0,14,0,3,0,0,4,2,0,14,0,0,13,0,0,21
"108664",1,13,0,0,28,4,0,0,7,0,9,3,1,8,0,4,0,0,0,7,0,0,1,18,1,2,0,8,0,0,8,0,0,3,1,13,2,4,0,27
"12421",0,15,0,0,11,0,15,0,21,3,22,1,23,4,0,4,31,9,1,15,8,4,3,10,2,25,0,11,0,0,9,0,2,6,0,4,49,3,0,21
"319263",0,6,0,1,0,0,0,0,0,0,10,0,1,4,0,0,0,0,0,0,17,3,3,0,0,5,0,0,1,0,19,0,0,0,0,0,3,0,0,2
"59014",6,22,9,0,92,0,0,0,84,161,23,0,0,0,0,0,2,0,0,14,0,22,0,0,0,58,0,69,84,0,61,0,0,34,0,34,14,0,0,70
"70675",0,31,0,14,0,0,6,0,14,0,3,0,0,0,0,4,2,0,0,4,0,0,0,0,2,5,3,3,10,0,11,0,0,25,0,11,25,2,0,36
"170755",4,44,0,0,12,0,3,0,32,41,10,37,7,7,0,3,5,3,3,31,4,3,24,4,6,39,0,18,15,0,14,6,84,41,58,2,25,25,0,33
"620986",0,0,0,0,0,0,0,0,3,4,0,2,0,1,0,3,0,0,0,1,0,3,0,2,0,4,0,4,0,0,3,0,0,1,0,0,0,0,0,2
"73824",9,106,11,1,106,14,6,5,70,22,111,12,4,5,0,34,13,0,0,60,1,126,5,19,21,55,0,73,40,0,90,27,58,100,6,28,55,14,41,87
"26754",0,28,0,0,31,3,0,0,7,13,29,13,1,24,0,6,23,0,12,35,0,2,6,28,16,47,0,17,8,0,42,0,6,48,5,27,33,1,0,34
"211660",40,25,2,9,23,0,0,0,38,0,1,1,0,17,0,3,0,0,0,0,11,16,2,8,25,8,0,1,25,0,0,0,2,4,0,8,14,0,0,5
"211673",0,8,0,0,40,16,10,0,9,11,53,3,0,31,0,0,0,0,7,60,24,44,15,0,8,45,0,8,10,0,42,10,10,62,4,8,9,0,0,39
"109294",2,5,0,0,3,4,0,1,12,3,11,7,6,4,0,0,5,1,0,8,5,4,4,6,6,11,0,5,12,0,5,7,5,8,0,4,33,6,2,5
