"BamName"	"Index.Primer"	"Number.of.Cells"	"CD8negcDC_Perc"	"CD8poscDC_Perc"	"Plasmacytoids_Perc"	"CD8negcDC_Num"	"CD8poscDC_Num"	"Plasmacytoids_Num"	"lib.size"
"ILSGR0260r_S1_BC1.bam"	"BC1"	10	0.451219095	0.316245463	0.232535443	495	348	258	12164
"ILSGR0260r_S1_BC2.bam"	"BC2"	10	0.671428571	0.320238095	0.008333333	153	75	2	44486
"ILSGR0260r_S1_BC3.bam"	"BC3"	10	0.439259259	0.095555556	0.465185185	54	12	65	87658
"ILSGR0260r_S1_BC4.bam"	"BC4"	10	0.303132832	0.315148984	0.381718184	413	428	507	290712
"ILSGR0260r_S1_BC5.bam"	"BC5"	8	0.013513514	0.004950495	0.981535991	2	2	245	75479
"ILSGR0260r_S1_BC6.bam"	"BC6"	10	0	0.036363636	0.963636364	0	7	176	217069
"ILSGR0260r_S1_BC7.bam"	"BC7"	10	0.128846154	0.229945055	0.641208791	16	36	94	75653
"ILSGR0260r_S1_BC8.bam"	"BC8"	2	0.144557823	0.323129252	0.532312925	30	67	124	17331
"ILSGR0260r_S1_BC9.bam"	"BC9"	10	0.006849315	0.05359589	0.939554795	7	43	512	305903
"ILSGR0260r_S1_BC10.bam"	"BC10"	8	0.016877637	0.113176129	0.869946234	13	97	817	329022
"ILSGR0260r_S1_BC11.bam"	"BC11"	5	NA	NA	NA	0	0	0	7651
"ILSGR0260r_S1_BC12.bam"	"BC12"	4	0	0	1	0	0	27	15937
"ILSGR0260r_S1_BC13.bam"	"BC13"	10	0.234723118	0.181746543	0.583530339	574	458	1356	226726
"ILSGR0260r_S1_BC14.bam"	"BC14"	2	1	0	0	8	0	0	30727
"ILSGR0260r_S1_BC15.bam"	"BC15"	3	0	0	1	0	0	8	44809
"ILSGR0260r_S1_BC16.bam"	"BC16"	2	1	0	0	27	0	0	17234
"ILSGR0260r_S1_BC17.bam"	"BC17"	10	0.125702793	0.088803309	0.785493898	127	89	783	218515
"ILSGR0260r_S1_BC18.bam"	"BC18"	10	0.876629571	0.085850556	0.037519873	475	44	19	126711
"ILSGR0260r_S1_BC19.bam"	"BC19"	10	0.128713088	0.175661445	0.695625466	114	150	592	185506
"ILSGR0260r_S1_BC20.bam"	"BC20"	10	0.260451977	0.050706215	0.688841808	65	13	173	33599
"ILSGR0260r_S1_BC21.bam"	"BC21"	10	0.053571429	0	0.946428571	6	0	118	105082
"ILSGR0260r_S1_BC22.bam"	"BC22"	1	0.100694444	0.554166667	0.345138889	27	138	96	267
"ILSGR0260r_S1_BC23.bam"	"BC23"	10	0	0.268181818	0.731818182	0	9	44	119991
"ILSGR0260r_S1_BC24.bam"	"BC24"	3	NA	NA	NA	2	0	12	51511
"ILSGR0260r_S1_BC25.bam"	"BC25"	9	0.279411765	0.720588235	0	25	52	0	10473
"ILSGR0260r_S1_BC26.bam"	"BC26"	5	NA	NA	NA	0	0	0	24676
"ILSGR0260r_S1_BC27.bam"	"BC27"	10	0.151067527	0.089333002	0.75959947	84	58	461	225567
"ILSGR0260r_S1_BC28.bam"	"BC28"	9	NA	NA	NA	0	0	0	133556
"ILSGR0260r_S1_BC29.bam"	"BC29"	6	0.011430941	0.194148306	0.794420753	5	84	353	125386
"ILSGR0260r_S1_BC30.bam"	"BC30"	10	0.415441176	0	0.584558824	24	0	54	131112
"ILSGR0260r_S1_BC31.bam"	"BC31"	10	0.332777778	0.275555556	0.391666667	354	287	427	45970
"ILSGR0260r_S1_BC32.bam"	"BC32"	7	0.029170804	0.086643496	0.8841857	16	60	581	275046
"ILSGR0260r_S1_BC33.bam"	"BC33"	2	0.112195122	0.297560976	0.590243902	5	20	61	1416
"ILSGR0260r_S1_BC34.bam"	"BC34"	8	0.044622049	0.252773837	0.702604114	44	250	694	199530
"ILSGR0260r_S1_BC35.bam"	"BC35"	10	0.229166667	0.118123974	0.65270936	170	93	470	174646
"ILSGR0260r_S1_BC36.bam"	"BC36"	10	0.919368132	0.080631868	0	216	20	0	0
"ILSGR0260r_S1_BC37.bam"	"BC37"	3	0.221155391	0.156435803	0.622408806	103	78	321	355483
"ILSGR0260r_S1_BC38.bam"	"BC38"	10	0.858333333	0.141666667	0	60	11	0	88456
"ILSGR0260r_S1_BC39.bam"	"BC39"	8	0.277154664	0.480788404	0.242056933	318	550	277	126867
"ILSGR0260r_S1_BC40.bam"	"BC40"	0	0.794871795	0.14957265	0.055555556	98	20	8	21111
